antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'save_act_ YES', 'INNER_CITY'})",frozenset({'current_act_ YES'}),0.28833333333333333,0.7583333333333333,0.22666666666666666,0.7861271676300577,1.0366512100616148,0.008013888888888876,1.1299549549549548
"frozenset({'mortgage_NO', 'pep_YES'})",frozenset({'current_act_ YES'}),0.30333333333333334,0.7583333333333333,0.23833333333333334,0.7857142857142857,1.0361067503924648,0.008305555555555566,1.1277777777777778
"frozenset({'save_act_ YES', 'mortgage_NO'})",frozenset({'current_act_ YES'}),0.45,0.7583333333333333,0.35333333333333333,0.7851851851851852,1.0354090354090355,0.012083333333333335,1.1250000000000002
"frozenset({'age(34.333, 50.667)'})",frozenset({'current_act_ YES'}),0.325,0.7583333333333333,0.255,0.7846153846153846,1.0346576500422655,0.00854166666666667,1.1220238095238095
"frozenset({'Car_NO', 'FEMALE'})",frozenset({'current_act_ YES'}),0.255,0.7583333333333333,0.2,0.7843137254901961,1.0342598577892697,0.00662500000000002,1.1204545454545456
"frozenset({'save_act_ YES', 'pep_YES'})",frozenset({'current_act_ YES'}),0.29833333333333334,0.7583333333333333,0.23333333333333334,0.7821229050279329,1.0313708637730983,0.007097222222222227,1.109188034188034
"frozenset({'mortgage_NO', 'children(0_1)'})",frozenset({'current_act_ YES'}),0.41333333333333333,0.7583333333333333,0.32166666666666666,0.7782258064516129,1.0262318326834456,0.008222222222222242,1.0896969696969696
"frozenset({'mortgage_NO', 'INNER_CITY'})",frozenset({'current_act_ YES'}),0.2916666666666667,0.7583333333333333,0.22666666666666666,0.777142857142857,1.0248037676609103,0.0054861111111110805,1.0844017094017089
"frozenset({'save_act_ YES', 'FEMALE'})",frozenset({'current_act_ YES'}),0.3433333333333333,0.7583333333333333,0.26666666666666666,0.7766990291262136,1.0242184999466553,0.006305555555555564,1.0822463768115942
"frozenset({'Car_NO', 'save_act_ YES'})",frozenset({'current_act_ YES'}),0.3416666666666667,0.7583333333333333,0.265,0.775609756097561,1.0227820959528278,0.005902777777777812,1.0769927536231887
"frozenset({'mortgage_NO', 'FEMALE'})",frozenset({'current_act_ YES'}),0.3416666666666667,0.7583333333333333,0.265,0.775609756097561,1.0227820959528278,0.005902777777777812,1.0769927536231887
"frozenset({'mortgage_NO', 'Married_YES', 'children(0_1)'})",frozenset({'current_act_ YES'}),0.2866666666666667,0.7583333333333333,0.22166666666666668,0.7732558139534884,1.0196779964221825,0.004277777777777797,1.0658119658119662
frozenset({'Car_NO'}),frozenset({'current_act_ YES'}),0.5066666666666667,0.7583333333333333,0.39166666666666666,0.7730263157894736,1.0193753614806245,0.00744444444444442,1.0647342995169078
"frozenset({'FEMALE', 'children(0_1)'})",frozenset({'current_act_ YES'}),0.33,0.7583333333333333,0.255,0.7727272727272727,1.018981018981019,0.0047499999999999765,1.0633333333333335
"frozenset({'save_act_ YES', 'income(4956.094, 24386.173)'})",frozenset({'current_act_ YES'}),0.285,0.7583333333333333,0.22,0.7719298245614036,1.0179294389820708,0.0038750000000000173,1.059615384615385
"frozenset({'save_act_ YES', 'mortgage_NO', 'Married_YES'})",frozenset({'current_act_ YES'}),0.30666666666666664,0.7583333333333333,0.23666666666666666,0.7717391304347827,1.0176779741997135,0.004111111111111149,1.0587301587301594
frozenset({'save_act_ YES'}),frozenset({'current_act_ YES'}),0.69,0.7583333333333333,0.5316666666666666,0.7705314009661836,1.0160853639114509,0.008416666666666628,1.053157894736842
frozenset({'pep_YES'}),frozenset({'current_act_ YES'}),0.45666666666666667,0.7583333333333333,0.3516666666666667,0.7700729927007299,1.015480869495468,0.00536111111111115,1.0510582010582012
frozenset({'mortgage_NO'}),frozenset({'current_act_ YES'}),0.6516666666666666,0.7583333333333333,0.5016666666666667,0.7698209718670078,1.0151485343301203,0.007486111111111193,1.0499074074074082
"frozenset({'Car_NO', 'children(0_1)'})",frozenset({'current_act_ YES'}),0.345,0.7583333333333333,0.265,0.7681159420289856,1.012900143334926,0.003375000000000017,1.0421875000000005
frozenset({'FEMALE'}),frozenset({'current_act_ YES'}),0.5,0.7583333333333333,0.38333333333333336,0.7666666666666667,1.0109890109890112,0.004166666666666707,1.035714285714286
"frozenset({'save_act_ YES', 'children(0_1)'})",frozenset({'current_act_ YES'}),0.4483333333333333,0.7583333333333333,0.3433333333333333,0.7657992565055762,1.0098451734139466,0.0033472222222222237,1.031878306878307
"frozenset({'save_act_ YES', 'Car_YES'})",frozenset({'current_act_ YES'}),0.34833333333333333,0.7583333333333333,0.26666666666666666,0.7655502392344498,1.0095167989904832,0.0025138888888889266,1.03078231292517
"frozenset({'save_act_ YES', 'MALE'})",frozenset({'current_act_ YES'}),0.3466666666666667,0.7583333333333333,0.265,0.764423076923077,1.0080304311073542,0.002111111111111119,1.0258503401360548
"frozenset({'INNER_CITY', 'Married_YES'})",frozenset({'current_act_ YES'}),0.2966666666666667,0.7583333333333333,0.22666666666666666,0.7640449438202246,1.007531794048648,0.0016944444444444151,1.0242063492063487
"frozenset({'mortgage_NO', 'MALE'})",frozenset({'current_act_ YES'}),0.31,0.7583333333333333,0.23666666666666666,0.7634408602150538,1.0067352002835874,0.0015833333333333532,1.0215909090909092
"frozenset({'mortgage_NO', 'Married_YES'})",frozenset({'current_act_ YES'}),0.435,0.7583333333333333,0.33166666666666667,0.7624521072796935,1.0054313502589365,0.0017916666666666914,1.0173387096774194
frozenset({'INNER_CITY'}),frozenset({'current_act_ YES'}),0.4483333333333333,0.7583333333333333,0.3416666666666667,0.7620817843866171,1.0049430123779566,0.001680555555555574,1.0157552083333334
