Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.178,2.45,-1.4312299417126222,2.339,0.2039,0.08301,0.1318,0.0647,0.1404,0.9802,0.9949,0.809,2.799,5.602,0.6619733381906149
1.201,2.474,-1.2431226011151295,2.509,0.1892,0.127,0.3528,0.2185,0.2307,1.05,1.01,0.862,3.022,5.662,0.7484231165737391
1.287,2.205,-1.366278079712591,2.545,0.1831,0.1318,0.2393,0.06714,0.3333,0.9631,0.9448,0.875,2.876,5.677,0.700688493357284
1.216,2.196,-1.3519380582320648,2.573,0.2747,0.1355,0.08301,0.06592,0.2368,0.9448,0.7043,0.198,2.893,4.91,0.6063409951473279
1.151,2.411,-1.4447264325178235,2.521,0.1733,-0.1758,0.1917,0.1172,0.2405,1.077,1.051,0.428,2.783,5.171,0.6450977972901815
1.129,2.266,-1.5096782945178546,2.61,0.3198,0.09399,0.08545,0.1489,0.199,0.9802,0.9912,0.504,2.706,5.256,0.6514884754568454
1.216,2.288,-1.3713392637645414,2.572,0.2661,0.1807,0.2576,0.3113,0.2539,0.9692,1.085,0.557,2.87,5.316,0.7154550613529548
1.184,2.556,-1.341815690128164,2.506,0.2429,0.1782,0.2124,0.1575,0.2075,1.027,1.08,0.028,2.905,4.718,0.669807025822653
1.156,2.253,-1.2203472728813523,2.611,0.2258,0.2454,0.1379,0.1465,0.332,0.8899,0.9753,0.814,3.049,5.608,0.7138710605932205
1.178,2.397,-1.2321567023359032,2.538,0.09399,0.2966,0.1514,0.1343,0.2026,0.9583,0.8057,0.766,3.035,5.553,0.6908111081386746
1.145,2.333,-1.2819250121800831,2.614,0.188,0.1416,0.1868,0.09644,0.2246,0.9143,1.005,0.867,2.976,5.668,0.7028179156516597
1.293,2.214,-1.3257886072969873,2.708,0.1404,0.2197,0.1428,0.1709,0.116,1.011,1.072,0.125,2.924,4.827,0.6572509493919176
1.229,2.206,-1.4455699631931487,2.417,0.2344,0.08423,0.1013,0.07812,0.09155,1.01,1.055,0.782,2.782,5.571,0.6535858364005709
1.178,2.406,-1.1941978219462748,2.687,0.2527,-0.09155,0.1782,0.2612,0.1709,1.222,1.116,0.65,3.08,5.422,0.7363543481711438
1.201,2.244,-1.406767552128195,2.588,0.1257,0.03418,0.003662,0.2234,0.2942,0.9839,0.9595,0.816,2.828,5.61,0.6722312039893171
1.288,2.246,-1.4109852055048204,2.693,0.2417,0.08179,0.1611,0.1416,0.1453,0.8984,0.9094,0.235,2.823,4.952,0.6358587328745983
1.289,2.371,-1.40761108280352,2.773,0.2185,-0.08667,0.2039,0.04639,0.2234,0.929,1.072,0.379,2.827,5.115,0.6675757430997066
1.273,2.264,-1.4464134938684736,2.708,0.1074,0.1453,0.2173,0.1721,0.2759,0.8667,0.957,0.072,2.781,4.767,0.6343572088442938
1.245,2.18,-1.3839922238944178,2.844,0.2087,0.2075,0.3394,0.1514,0.3198,1.013,0.8691,0.905,2.855,5.71,0.7415756480087984
1.304,2.354,-1.460753515349,2.815,0.1733,0.1538,0.07446,-0.009766,0.1416,0.9778,0.8643,0.397,2.764,5.135,0.6487283737209167
1.266,2.294,-1.3848357545697427,2.786,0.3088,0.05981,0.2246,0.06714,0.2954,0.9802,0.9778,0.459,2.854,5.206,0.6944928537858548
